;ime;spol;email;adresa;poštanski broj;grad;user id
0;Jelena Akmačić;F;jelena.akmacic@zugec.hr;Rockefellerova 636;52958;Valpovo;45571
1;Siniša Pamić;F;sinisa.pamic@prpic.biz;Jurjevska 417;45045;Buzet;32263
2;Niko Orlović;F;orlovic031@zelic.org;Višnjičke 223;94528;Zlatar;69127
3;Marija Šimunić;F;simunic066@net.hr;Donje Prekrižje 8;85606;Đurđevac;25105
4;Aldo Matulin;F;matulin010@gmail.com;Medvedgradska 619;18944;Stari Grad;72723
5;Albina Zubčić;M;albina.zubcic@globalnet.hr;Perivoj biskupa Stjepana II. 3c/6;26227;Korčula;77844
6;Jadranka Malnar;F;malnar027@krzelj.hr;Kapucinske 8c/1;35710;Novska;52244
7;Ivanka Lojen;M;ivanka.lojen@zagreb.hr;Svibovac 1c/8;70225;Delnice;96280
8;Marijan Karagić;M;marijan.karagic@kos.com;Kamenita 9;42873;Hvar;85016
9;Erik Kligl;F;erik.kligl@sever.biz;Lisinskoga 3c;96906;Opatija;25626
10;Filip Maraš;M;maras027@gmail.com;Tuškanac 6;41364;Popovača;65053
11;Jelena Ivandić;F;ivandic048@rebic.info;Mašekova 8c/8;39793;Pazin;70176
12;Duje Horvatek;F;horvatek036@zg.t-com.hr;Mlinarska 4a/5;56687;Korčula;98849
13;Luka Karlović;M;luka.karlovic@yahoo.com;Kamenita 8;00003;Osijek;98850
14;Vesna Stojčević;M;stojcevic025@dragojevic.net;Golubovac 3c;79762;Bjelovar;84515
15;Janko Koški;F;koski066@ukic.org;Šumski prečac 6c/8;84128;Buzet;68646
16;Antonija Dabo;F;dabo052@zg.t-com.hr;Zvonarnička 038;00812;Metković;51704
17;Andrea Vorkapić;F;andrea.vorkapic@cudic.hr;Ljubinkovac 4a/8;78742;Nin;69679
18;Dragan Matokanović;M;dragan.matokanovic@mustapic.com.hr;Kamenita 3;07040;Bjelovar;88627
19;Joso Stojanov;M;joso.stojanov@zagreb.hr;Draškovićeva 0c/2;13734;Nova Gradiška;34867
20;Jadranka Sladonja;F;sladonja066@xnet.hr;Goljak 5b/8;43592;Hrvatska Kostajnica;46647
21;Jozo Modrić;F;modric082@zg.t-com.hr;Krležin gvozd 0c/0;64658;Delnice;25144
22;Draga Kolega;M;draga.kolega@radocaj.com.hr;Svibovac 5b/7;82111;Pula;79928
23;Nina Hadrović;F;nina.hadrovic@globalnet.hr;Splavnica 62;33516;Crikvenica;56890
24;Dino Andrijašević;F;andrijasevic084@trgovcic.biz;Jagodnjak 3c/2;20789;Pregrada;76345
25;Maja Kramarić;M;maja.kramaric@beletic.com.hr;Petrova 761;54110;Glina;89148
26;Iva Lorencin;F;lorencin065@crnekovic.com.hr;Ksaver 0c/4;43789;Gospić;56381
27;Vedran Kovaček;F;vedran.kovacek@orsulic.com;Mihaljevac 3a;11641;Novalja;94270
28;Željko Mihaljević;F;mihaljevic093@golubic.net;Mlinske 60;79643;Drniš;29250
29;Mihael Petek;F;petek015@net.hr;Ilica 436;13190;Obrovac;25668
